url	 timedelta	 n_tokens_title	 n_tokens_content	 n_unique_tokens	 n_non_stop_words	 n_non_stop_unique_tokens	 num_hrefs	 num_self_hrefs	 num_imgs	 num_videos	 average_token_length	 num_keywords	 data_channel_is_lifestyle	 data_channel_is_entertainment	 data_channel_is_bus	 data_channel_is_socmed	 data_channel_is_tech	 data_channel_is_world	 kw_min_min	 kw_max_min	 kw_avg_min	 kw_min_max	 kw_max_max	 kw_avg_max	 kw_min_avg	 kw_max_avg	 kw_avg_avg	 self_reference_min_shares	 self_reference_max_shares	 self_reference_avg_sharess	 weekday_is_monday	 weekday_is_tuesday	 weekday_is_wednesday	 weekday_is_thursday	 weekday_is_friday	 weekday_is_saturday	 weekday_is_sunday	 is_weekend	 LDA_00	 LDA_01	 LDA_02	 LDA_03	 LDA_04	 global_subjectivity	 global_sentiment_polarity	 global_rate_positive_words	 global_rate_negative_words	 rate_positive_words	 rate_negative_words	 avg_positive_polarity	 min_positive_polarity	 max_positive_polarity	 avg_negative_polarity	 min_negative_polarity	 max_negative_polarity	 title_subjectivity	 title_sentiment_polarity	 abs_title_subjectivity	 abs_title_sentiment_polarity	 shares
http://mashable.com/2013/01/07/amazon-instant-video-browser/	731	12	219	0.663594467	0.999999992	0.815384609	4	2	1	0	4.680365297	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	496	496	496	1	0	0	0	0	0	0	0	0.500331204	0.37827893	0.040004675	0.041262648	0.040122544	0.521617145	0.092561983	0.0456621	0.01369863	0.769230769	0.230769231	0.378636364	0.1	0.7	-0.35	-0.6	-0.2	0.5	-0.1875	0	0.1875	593
http://mashable.com/2013/01/07/ap-samsung-sponsored-tweets/	731	9	255	0.604743081	0.999999993	0.791946303	3	1	1	0	4.91372549	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.799755687	0.050046675	0.050096252	0.050100673	0.050000712	0.341245791	0.148947811	0.043137255	0.015686275	0.733333333	0.266666667	0.286914601	0.033333333	0.7	-0.11875	-0.125	-0.1	0	0	0.5	0	711
http://mashable.com/2013/01/07/apple-40-billion-app-downloads/	731	9	211	0.575129531	0.999999992	0.663865541	3	1	1	0	4.393364929	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	918	918	918	1	0	0	0	0	0	0	0	0.217792289	0.033334457	0.033351425	0.033333536	0.682188294	0.702222222	0.323333333	0.056872038	0.009478673	0.857142857	0.142857143	0.495833333	0.1	1	-0.466666667	-0.8	-0.133333333	0	0	0.5	0	1500
http://mashable.com/2013/01/07/astronaut-notre-dame-bcs/	731	9	531	0.503787878	0.999999997	0.665634673	9	0	1	0	4.404896422	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.028573216	0.419299642	0.494650826	0.028904718	0.028571598	0.429849687	0.100704666	0.041431262	0.020715631	0.666666667	0.333333333	0.385965171	0.136363636	0.8	-0.36969697	-0.6	-0.166666667	0	0	0.5	0	1200
http://mashable.com/2013/01/07/att-u-verse-apps/	731	13	1072	0.415645617	0.999999999	0.540889526	19	19	20	0	4.682835821	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	545	16000	3151.157895	1	0	0	0	0	0	0	0	0.02863281	0.028793552	0.028575185	0.028571675	0.885426778	0.513502123	0.281003476	0.074626866	0.012126866	0.860215054	0.139784946	0.411127435	0.033333333	1	-0.220192308	-0.5	-0.05	0.454545455	0.136363636	0.045454545	0.136363636	505
http://mashable.com/2013/01/07/beewi-smart-toys/	731	10	370	0.559888578	0.999999995	0.698198195	2	2	0	0	4.359459459	9	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8500	8500	8500	1	0	0	0	0	0	0	0	0.022245276	0.306717576	0.022231278	0.02222429	0.626581581	0.437408649	0.071184192	0.02972973	0.027027027	0.523809524	0.476190476	0.350609996	0.136363636	0.6	-0.195	-0.4	-0.1	0.642857143	0.214285714	0.142857143	0.214285714	855
http://mashable.com/2013/01/07/bodymedia-armbandgets-update/	731	8	960	0.418162618	0.999999998	0.549833886	21	20	20	0	4.654166667	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	545	16000	3151.157895	1	0	0	0	0	0	0	0	0.020081666	0.114705387	0.020024369	0.020015328	0.82517325	0.514480301	0.268302724	0.080208333	0.016666667	0.827956989	0.172043011	0.402038567	0.1	1	-0.224479167	-0.5	-0.05	0	0	0.5	0	556
http://mashable.com/2013/01/07/canon-poweshot-n/	731	12	989	0.433573635	0.999999998	0.572107765	20	20	20	0	4.617795753	9	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	545	16000	3151.157895	1	0	0	0	0	0	0	0	0.022224357	0.150732973	0.243435476	0.022223603	0.561383591	0.543474234	0.29861347	0.083923155	0.015166835	0.846938776	0.153061224	0.427720492	0.1	1	-0.242777778	-0.5	-0.05	1	0.5	0.5	0.5	891
http://mashable.com/2013/01/07/car-of-the-future-infographic/	731	11	97	0.670103086	0.99999998	0.836734677	2	0	0	0	4.855670103	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.458250415	0.028979431	0.028661883	0.029695859	0.454412412	0.538888889	0.161111111	0.030927835	0.020618557	0.6	0.4	0.566666667	0.4	0.8	-0.125	-0.125	-0.125	0.125	0	0.375	0	3600
http://mashable.com/2013/01/07/chuck-hagel-website/	731	10	231	0.636363634	0.999999993	0.797101443	4	1	1	1	5.090909091	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.040000096	0.040000026	0.839997207	0.040000633	0.040002038	0.313888889	0.051851852	0.038961039	0.03030303	0.5625	0.4375	0.298412698	0.1	0.5	-0.238095238	-0.5	-0.1	0	0	0.5	0	710
